,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,sw,sw_err,sw_vary,sw_scale_factor,gamma0_O2,gamma0_O2_err,gamma0_O2_vary,n_gamma0_O2,gamma0_N2,gamma0_N2_err,gamma0_N2_vary,n_gamma0_N2,delta0_O2,delta0_O2_err,delta0_O2_vary,n_delta0_O2,delta0_N2,delta0_N2_err,delta0_N2_vary,n_delta0_N2,nuVC_O2,nuVC_O2_err,nuVC_O2_vary,n_nuVC_O2,nuVC_N2,nuVC_N2_err,nuVC_N2_vary,n_nuVC_N2,SD_gamma_O2,SD_gamma_O2_err,SD_gamma_O2_vary,n_gamma2_O2,SD_gamma_N2,SD_gamma_N2_err,SD_gamma_N2_vary,n_gamma2_N2,SD_delta_O2,SD_delta_O2_err,SD_delta_O2_vary,n_delta2_O2,SD_delta_N2,SD_delta_N2_err,SD_delta_N2_vary,n_delta2_N2,eta_O2,eta_O2_err,eta_O2_vary,eta_N2,eta_N2_err,eta_N2_vary,y_O2,y_O2_err,y_O2_vary,n_y_O2,y_N2,y_N2_err,y_N2_vary,n_y_N2
0,1,1,927.7439,7500.02721,0,False,2.6900000000000003e-05,0,False,1e-20,0.064,0,False,0.6,0.064,0,False,0.6,-0.01512,0,False,0,-0.01512,0,False,0,0.0,0,False,1,0.0,0,False,1,0.0,0,False,0.6,0.0,0,False,0.6,0.0,0,False,0,0.0,0,False,0,0,0,False,0,0,False,0.0,0,False,0,0.0,0,False,0
1,1,1,1059.6467,7500.067954,0,False,6.660000000000001e-06,0,False,1e-20,0.0631,0,False,0.66,0.0631,0,False,0.66,-0.02315,0,False,0,-0.02315,0,False,0,0.0,0,False,1,0.0,0,False,1,0.0,0,False,0.66,0.0,0,False,0.66,0.0,0,False,0,0.0,0,False,0,0,0,False,0,0,False,0.0,0,False,0,0.0,0,False,0
2,1,1,1557.8477,7500.198987,0,False,1.65e-07,0,False,1e-20,0.0359,0,False,0.34,0.0359,0,False,0.34,-0.01087,0,False,0,-0.01087,0,False,0,0.0,0,False,1,0.0,0,False,1,0.0,0,False,0.34,0.0,0,False,0.34,0.0,0,False,0,0.0,0,False,0,0,0,False,0,0,False,0.0,0,False,0,0.0,0,False,0
3,1,1,2495.1659,7500.207785,0,False,4.040000000000001e-07,0,False,1e-20,0.0649,0,False,0.56,0.0649,0,False,0.56,-0.00834,0,False,0,-0.00834,0,False,0,0.0,0,False,1,0.0,0,False,1,0.0,0,False,0.56,0.0,0,False,0.56,0.0,0,False,0,0.0,0,False,0,0,0,False,0,0,False,0.0,0,False,0,0.0,0,False,0
4,1,1,2904.4283,7500.247861,0,False,4.9800000000000014e-09,0,False,1e-20,0.0782,0,False,0.69,0.0782,0,False,0.69,0.00083,0,False,0,0.00083,0,False,0,0.0,0,False,1,0.0,0,False,1,0.0,0,False,0.69,0.0,0,False,0.69,0.0,0,False,0,0.0,0,False,0,0,0,False,0,0,False,0.0,0,False,0,0.0,0,False,0
5,1,1,3383.2654,7500.249746,0,False,1.25e-09,0,False,1e-20,0.0743,0,False,0.65,0.0743,0,False,0.65,-0.01176,0,False,0,-0.01176,0,False,0,0.0,0,False,1,0.0,0,False,1,0.0,0,False,0.65,0.0,0,False,0.65,0.0,0,False,0,0.0,0,False,0,0,0,False,0,0,False,0.0,0,False,0,0.0,0,False,0
6,1,1,1581.336,7500.274675,0,False,1.5000000000000002e-08,0,False,1e-20,0.0642,0,False,0.6,0.0642,0,False,0.6,0.00516,0,False,0,0.00516,0,False,0,0.0,0,False,1,0.0,0,False,1,0.0,0,False,0.6,0.0,0,False,0.6,0.0,0,False,0,0.0,0,False,0,0,0,False,0,0,False,0.0,0,False,0,0.0,0,False,0
7,1,1,2952.3937,7500.29528,0,False,4.48e-10,0,False,1e-20,0.0668,0,False,0.66,0.0668,0,False,0.66,-0.01308,0,False,0,-0.01308,0,False,0,0.0,0,False,1,0.0,0,False,1,0.0,0,False,0.66,0.0,0,False,0.66,0.0,0,False,0,0.0,0,False,0,0,0,False,0,0,False,0.0,0,False,0,0.0,0,False,0
8,1,1,325.3479,7500.47127,0,False,8.21e-05,0,False,1e-20,0.0882,0,False,0.71,0.0882,0,False,0.71,0.00203,0,False,0,0.00203,0,False,0,0.0,0,False,1,0.0,0,False,1,0.0,0,False,0.71,0.0,0,False,0.71,0.0,0,False,0,0.0,0,False,0,0,0,False,0,0,False,0.0,0,False,0,0.0,0,False,0
9,1,1,4221.0394,7500.485041,0,False,4.07e-09,0,False,1e-20,0.0314,0,False,0.41,0.0314,0,False,0.41,-0.00917,0,False,0,-0.00917,0,False,0,0.0,0,False,1,0.0,0,False,1,0.0,0,False,0.41,0.0,0,False,0.41,0.0,0,False,0,0.0,0,False,0,0,0,False,0,0,False,0.0,0,False,0,0.0,0,False,0
