Spectrum Number,Baseline Order,Pressure,Segment Number,Temperature,baseline_a,baseline_b,etalon_1_amp,etalon_1_period,etalon_1_phase,etalon_2_amp,etalon_2_period,etalon_2_phase,etalon_3_amp,etalon_3_period,etalon_3_phase,molefraction_CO2,x_shift
1.0,1.0,0.07368421052631581,0.0,296.4,0.0,0.0,0.004321,1.168,0.0,0.001377,59.38,0.0,0.0004578,29.75,0.0,0.0004254,0.0
2.0,1.0,0.10921052631578945,0.0,296.4,0.0,0.0,0.004321,1.168,0.0,0.001377,59.38,0.0,0.0004578,29.75,0.0,0.0004254,0.0
3.0,1.0,0.13289473684210523,0.0,296.4,0.0,0.0,0.004321,1.168,0.0,0.001377,59.38,0.0,0.0004578,29.75,0.0,0.0004254,0.0
4.0,1.0,0.14210526315789473,0.0,296.4,0.0,0.0,0.004321,1.168,0.0,0.001377,59.38,0.0,0.0004578,29.75,0.0,0.0004254,0.0
5.0,1.0,0.2,0.0,296.4,0.0,0.0,0.004321,1.168,0.0,0.001377,59.38,0.0,0.0004578,29.75,0.0,0.0004254,0.0
6.0,1.0,0.24342105263157895,0.0,296.4,0.0,0.0,0.004321,1.168,0.0,0.001377,59.38,0.0,0.0004578,29.75,0.0,0.0004254,0.0
7.0,1.0,0.35394736842105257,0.0,296.4,0.0,0.0,0.004321,1.168,0.0,0.001377,59.38,0.0,0.0004578,29.75,0.0,0.0004254,0.0
8.0,1.0,0.3552631578947368,0.0,296.4,0.0,0.0,0.004321,1.168,0.0,0.001377,59.38,0.0,0.0004578,29.75,0.0,0.0004254,0.0
9.0,1.0,0.006578947368421052,0.0,296.4,0.0,0.0,0.004321,1.168,0.0,0.001377,59.38,0.0,0.0004578,29.75,0.0,0.0004254,0.0
10.0,1.0,0.013157894736842105,0.0,296.4,0.0,0.0,0.004321,1.168,0.0,0.001377,59.38,0.0,0.0004578,29.75,0.0,0.0004254,0.0
11.0,1.0,0.03289473684210526,0.0,296.4,0.0,0.0,0.004321,1.168,0.0,0.001377,59.38,0.0,0.0004578,29.75,0.0,0.0004254,0.0
